policy,method,n_episodes,total_accepted,total_requests,accepted_mean,accepted_std,accepted_ci95_low,accepted_ci95_high,blocking_rate_mean,blocking_rate_std,blocking_rate_ci95_low,blocking_rate_ci95_high,mean_reward_mean,mean_reward_std,mean_reward_ci95_low,mean_reward_ci95_high,mean_selected_energy_increment_mean,mean_selected_energy_increment_std,mean_selected_energy_increment_ci95_low,mean_selected_energy_increment_ci95_high,mean_selected_fragmentation_after_mean,mean_selected_fragmentation_after_std,mean_selected_fragmentation_after_ci95_low,mean_selected_fragmentation_after_ci95_high,mean_selected_qot_margin_norm_mean,mean_selected_qot_margin_norm_std,mean_selected_qot_margin_norm_ci95_low,mean_selected_qot_margin_norm_ci95_high,mean_decision_latency_ms_mean,mean_decision_latency_ms_std,mean_decision_latency_ms_ci95_low,mean_decision_latency_ms_ci95_high,p95_decision_latency_ms_mean,p95_decision_latency_ms_std,p95_decision_latency_ms_ci95_low,p95_decision_latency_ms_ci95_high,mean_selected_topn_index_mean,mean_selected_topn_index_std,mean_selected_topn_index_ci95_low,mean_selected_topn_index_ci95_high,p95_selected_topn_index_mean,p95_selected_topn_index_std,p95_selected_topn_index_ci95_low,p95_selected_topn_index_ci95_high
torch_dqn_candidate_ranker_distill_old10,Calibrated DQN-Override baseline ranker,80,40946,60000,511.825,90.38746062355489,491.71025809495745,531.9397419050425,0.31756666666666666,0.12051661416473985,0.29074701079327664,0.3443863225400567,0.5971446666121831,0.1292476640076927,0.5683820109804252,0.6259073222439411,571.7380592464579,41.31118300097737,562.5447067822545,580.9314117106612,0.30914294448790114,0.0371083830278935,0.3008848792433398,0.3174010097324625,0.2658178491443703,0.009768780748702414,0.26364391370983625,0.2679917845789043,2.3071160628072294,0.341600011243735,2.231096712185748,2.3831354134287106,4.7935990992118604,0.5604111791690163,4.668885713617004,4.918312484806717,1.9358673005516416,0.2825790479808706,1.872982420517446,1.9987521805858373,7.8625,1.29011578324475,7.575398826578747,8.149601173421253
lightgbm_candidate_ranker_old10,LightGBM-override ranker,80,40898,60000,511.225,88.29423981670676,491.5760815176928,530.8739184823073,0.31836666666666663,0.11772565308894235,0.292168108690257,0.34456522464307626,0.5957551332817469,0.12581828595955444,0.567755648269644,0.6237546182938498,571.8022465673108,41.76948931979604,562.5069030387177,581.0975900959039,0.3299151370456991,0.041370073625481486,0.3207086791163753,0.33912159497502287,0.2682660659241575,0.009512994111588222,0.2661490530113186,0.27038307883699647,2.061379501518483,0.2829834099546348,1.9984046351445628,2.1243543678924026,4.366434907133224,0.5559518290591107,4.242713901188223,4.490155913078224,2.0690007521391727,0.2962054430000876,2.0030834667578543,2.134918037520491,8.125,1.1066542117137572,7.878726195058636,8.371273804941364
gnn_cnn_dqn,GNN-CNN Full DQN Ranker,80,40873,60000,510.9125,88.00017171300854,491.3290231615623,530.4959768384377,0.3187833333333333,0.11733356228401139,0.292672030882083,0.3448946357845836,0.5956818332705136,0.12558742847417292,0.5677337230697314,0.6236299434712959,572.5784921191068,42.05528619594844,563.2195476179738,581.9374366202399,0.3108918210096892,0.03517651333332749,0.3030636722605387,0.3187199697588397,0.26390892990619247,0.009287305368576753,0.26184214155752683,0.2659757182548581,4.9720043797434,0.7948001043662267,4.79513029947677,5.148878460010031,8.589153494685888,0.5667503453809581,8.463029396904112,8.715277592467665,1.7351583835019837,0.2602512118613146,1.6772423194710768,1.7930744475328906,7.3125,1.0860886739097029,7.070802830824407,7.554197169175593
top32_xlron_stabilized_ppo,XLRON Counterfactual Ranker,80,40832,60000,510.4,88.68727592722873,490.66361562510133,530.1363843748986,0.3194666666666666,0.11824970123630497,0.2931514875001351,0.34578184583319815,0.5950218932712052,0.1265545057485925,0.566858570588039,0.6231852159543715,571.0729543061137,42.1628983510277,561.6900618954993,580.4558467167282,0.315176302151291,0.03504235623124699,0.3073780085995812,0.3229745957030008,0.26518527314264884,0.00880560992419473,0.2632256808527477,0.26714486543254995,4.7383714302753415,0.7355580795733463,4.574681015424469,4.902061845126214,8.281963315967005,0.5603099592481869,8.157272455759731,8.406654176174278,1.7470531800738311,0.2530363008583596,1.6907427156658266,1.8033636444818357,7.35,1.1262124268448412,7.099373727949028,7.600626272050971
gnn_cnn_a3c,A3C Policy Distilled from Full DQN,80,40722,60000,509.025,89.627213176424,489.0794428588341,528.9705571411658,0.3213,0.11950295090189868,0.2947059238117788,0.34789407618822116,0.593311333273982,0.12810261227169367,0.5648034963967132,0.6218191701512508,572.0623473336857,41.76691643543067,562.7675763724001,581.3571182949713,0.3137786263543278,0.03799622204181779,0.3053229822366007,0.3222342704720549,0.2591158420946183,0.010171445894058578,0.2568522979309849,0.2613793862582517,5.125291610416025,0.8156875543483955,4.943769256345182,5.306813964486868,8.835748385172337,0.5510055048873591,8.713128129634606,8.958368640710068,1.6680068806939041,0.2899528861041774,1.6034810335424041,1.7325327278454041,7.0625,1.1062967075171521,6.816305753711962,7.308694246288038
energy-aware-ksp-bm-ff,Energy-Aware-KSP-BM-FF,80,40487,60000,506.0875,85.77453426191308,486.99931446186145,525.1756855381385,0.32521666666666665,0.11436604568255078,0.29976575261581523,0.3506675807175181,0.5895052132658363,0.12287365236868322,0.5621610242901158,0.6168494022415567,562.3054626268311,37.92186957462356,553.8663648383989,570.7445604152632,0.37998550530408687,0.033053538236498495,0.3726298014698499,0.3873412091383238,0.2628769616500411,0.008756977148755882,0.260928192053015,0.2648257312470672,1.8057476359031472,0.22371839023877418,1.7559615522138814,1.855533719592413,3.9480510470457366,0.5225833500855626,3.8317558315553675,4.064346262536106,2.5179575182644034,0.4413244738229345,2.4197455779566828,2.616169458572124,9.6,1.489201638122703,9.268594444530743,9.931405555469256
ksp-ff,KSP-FF,80,40369,60000,504.6125,86.86997321765124,485.28053648961406,523.944463510386,0.3271833333333333,0.1158266309568683,0.301407381986152,0.35295928468051463,0.5873375566005234,0.12445677104666064,0.5596410618581303,0.6150340513429166,562.8038140363185,38.628753143580916,554.2074070321124,571.4002210405246,0.37847545905447816,0.031577597802653234,0.37144820963957337,0.38550270846938295,0.26307769944614917,0.008580666527049375,0.26116816585184155,0.2649872330404568,1.8039401153568178,0.23133801783636648,1.752458366787924,1.8554218639257114,3.9581221432308653,0.5701700468948094,3.8312370282364263,4.085007258225304,2.52903333972867,0.4616537600957801,2.42629733885247,2.6317693406048703,9.6,1.579937508778613,9.248402167779279,9.95159783222072
ksp-bm-ff,KSP-BM-FF,80,40369,60000,504.6125,86.86997321765124,485.28053648961406,523.944463510386,0.3271833333333333,0.1158266309568683,0.301407381986152,0.35295928468051463,0.5873375566005234,0.12445677104666064,0.5596410618581303,0.6150340513429166,562.8038140363185,38.628753143580916,554.2074070321124,571.4002210405246,0.37847545905447816,0.031577597802653234,0.37144820963957337,0.38550270846938295,0.26307769944614917,0.008580666527049375,0.26116816585184155,0.2649872330404568,1.8029990811288978,0.2317262630273488,1.7514309328342168,1.8545672294235789,3.955126357031985,0.5661699919403123,3.8291314105682317,4.081121303495738,2.52903333972867,0.4616537600957801,2.42629733885247,2.6317693406048703,9.6,1.579937508778613,9.248402167779279,9.95159783222072
