Policy,Acc.,Block,Reward,Energy,Frag.,QoT,"Mean Latency, ms","P95 Latency, ms"
Calibrated DQN-Override ranker,40 946,0.3176,0.5971,571.7,0.3091,0.2658,2.307,4.794
LightGBM-override ranker,40 898,0.3184,0.5958,571.8,0.3299,0.2683,2.061,4.366
GNN-CNN Full DQN Ranker,40 873,0.3188,0.5957,572.6,0.3109,0.2639,4.972,8.589
XLRON Counterfactual Ranker,40 832,0.3195,0.5950,571.1,0.3152,0.2652,4.738,8.282
A3C Policy Distilled from Full DQN,40 722,0.3213,0.5933,572.1,0.3138,0.2591,5.125,8.836
Energy-Aware-KSP-BM-FF,40 487,0.3252,0.5895,562.3,0.3800,0.2629,1.806,3.948
KSP-FF,40 369,0.3272,0.5873,562.8,0.3785,0.2631,1.804,3.958
KSP-BM-FF,40 369,0.3272,0.5873,562.8,0.3785,0.2631,1.803,3.955
