policy,traffic_scenario,load_name,episodes,accepted,blocking_rate,reward,energy,fragmentation,qot,policy_name
energy-aware-ksp-bm-ff,bursty,high,5,476.0,0.36533333333333334,0.5463760532765786,556.9581543341719,0.38036065572084565,0.2589072097879842,Energy-Aware-KSP-BM-FF
energy-aware-ksp-bm-ff,bursty,low,5,616.8,0.17759999999999995,0.7449424532252451,597.3879331578676,0.32017968386108164,0.2575420172765839,Energy-Aware-KSP-BM-FF
energy-aware-ksp-bm-ff,bursty,medium,5,552.2,0.2637333333333333,0.6538780799188315,579.8798896020027,0.35476738672995084,0.256190419604125,Energy-Aware-KSP-BM-FF
energy-aware-ksp-bm-ff,bursty,overload,5,409.0,0.45466666666666666,0.45068362662015354,531.1027549322982,0.3939426610614768,0.26472153655336594,Energy-Aware-KSP-BM-FF
energy-aware-ksp-bm-ff,hotspot,high,5,489.8,0.3469333333333333,0.5743321599491338,519.4938206426875,0.4194684602425137,0.26790989408578486,Energy-Aware-KSP-BM-FF
energy-aware-ksp-bm-ff,hotspot,low,5,623.8,0.16826666666666662,0.7650264532340765,553.448268141589,0.37188517837170665,0.26569789291020507,Energy-Aware-KSP-BM-FF
energy-aware-ksp-bm-ff,hotspot,medium,5,552.0,0.26399999999999996,0.6631546132641534,532.3005623785193,0.3998731710844319,0.2700993887545591,Energy-Aware-KSP-BM-FF
energy-aware-ksp-bm-ff,hotspot,overload,5,407.4,0.4568,0.4557248532989422,488.7705150021783,0.42355295429221834,0.2726164802551486,Energy-Aware-KSP-BM-FF
energy-aware-ksp-bm-ff,nonuniform,high,5,428.4,0.4288,0.4742542399492561,576.5191343912813,0.39472409436790634,0.2671284145959084,Energy-Aware-KSP-BM-FF
energy-aware-ksp-bm-ff,nonuniform,low,5,580.2,0.2264,0.6863101332221826,639.558336530143,0.3456665919978485,0.258365164376081,Energy-Aware-KSP-BM-FF
energy-aware-ksp-bm-ff,nonuniform,medium,5,506.4,0.3248,0.5840437332641284,605.4288581315607,0.3547712841273337,0.26223785375061504,Energy-Aware-KSP-BM-FF
energy-aware-ksp-bm-ff,nonuniform,overload,5,357.6,0.5232,0.37243109329353763,560.1201365932267,0.3913298924574939,0.2656907531057855,Energy-Aware-KSP-BM-FF
energy-aware-ksp-bm-ff,uniform,high,5,474.6,0.36719999999999997,0.5434239999463161,557.4001314909868,0.3970856895152185,0.2576501565498298,Energy-Aware-KSP-BM-FF
energy-aware-ksp-bm-ff,uniform,low,5,636.8,0.1509333333333333,0.774237013235559,599.8446481499016,0.3454990687412132,0.25388228615456876,Energy-Aware-KSP-BM-FF
energy-aware-ksp-bm-ff,uniform,medium,5,568.8,0.24159999999999998,0.6794319465950529,571.2770162758803,0.3803463766753256,0.2580067293549638,Energy-Aware-KSP-BM-FF
energy-aware-ksp-bm-ff,uniform,overload,5,417.6,0.4431999999999999,0.4638329599602321,527.3972422750019,0.40631493561882487,0.2693851892851481,Energy-Aware-KSP-BM-FF
gnn_cnn_a3c,bursty,high,5,483.0,0.356,0.5553027199454705,571.1692033347554,0.3118887213269713,0.2572313942048482,A3C Policy Distilled from Full DQN
gnn_cnn_a3c,bursty,low,5,623.6,0.16853333333333329,0.7535443732371528,613.6395031098557,0.23899266700025973,0.24965525504791639,A3C Policy Distilled from Full DQN
gnn_cnn_a3c,bursty,medium,5,558.2,0.2557333333333333,0.6626386132629017,588.1915739714656,0.28680390948398704,0.25275524181352454,A3C Policy Distilled from Full DQN
gnn_cnn_a3c,bursty,overload,5,407.6,0.45653333333333335,0.4481301332867146,536.7624332477033,0.332479826726373,0.2650402327479493,A3C Policy Distilled from Full DQN
gnn_cnn_a3c,hotspot,high,5,486.6,0.35119999999999996,0.5692497066277862,530.0014809256902,0.36040699406847887,0.26028907144930724,A3C Policy Distilled from Full DQN
gnn_cnn_a3c,hotspot,low,5,630.4,0.15946666666666665,0.7736782932609518,567.7737306213123,0.2938872409519808,0.26121870057323016,A3C Policy Distilled from Full DQN
gnn_cnn_a3c,hotspot,medium,5,564.0,0.24799999999999994,0.6802725866088271,543.7004199482817,0.3410352980953785,0.2641280294312982,A3C Policy Distilled from Full DQN
gnn_cnn_a3c,hotspot,overload,5,408.2,0.4557333333333333,0.4567545599678257,489.068076811822,0.359551072531315,0.2752084430682084,A3C Policy Distilled from Full DQN
gnn_cnn_a3c,nonuniform,high,5,425.2,0.43306666666666666,0.46966650661850967,585.4179343000447,0.3390410926560321,0.26124224847198246,A3C Policy Distilled from Full DQN
gnn_cnn_a3c,nonuniform,low,5,593.2,0.20906666666666665,0.7046765865751704,660.1023777896852,0.2713273055998079,0.2451689837029783,A3C Policy Distilled from Full DQN
gnn_cnn_a3c,nonuniform,medium,5,502.6,0.32986666666666664,0.5784851199365556,612.4474869408458,0.29909437015288287,0.26031289770737714,A3C Policy Distilled from Full DQN
gnn_cnn_a3c,nonuniform,overload,5,360.4,0.5194666666666666,0.37685199995751184,557.8091626792368,0.31840523719864894,0.2649000485357188,A3C Policy Distilled from Full DQN
gnn_cnn_a3c,uniform,high,5,472.0,0.3706666666666666,0.5395680532872876,563.0790407014852,0.3313432764180138,0.25858447948958824,A3C Policy Distilled from Full DQN
gnn_cnn_a3c,uniform,low,5,644.0,0.1413333333333333,0.7829039465789199,618.1275881764728,0.2658168178529661,0.24912511150633215,A3C Policy Distilled from Full DQN
gnn_cnn_a3c,uniform,medium,5,572.2,0.23706666666666662,0.6842062399397988,580.6068323354717,0.31863305893154104,0.2543422645738692,A3C Policy Distilled from Full DQN
gnn_cnn_a3c,uniform,overload,5,413.2,0.4490666666666666,0.4570518932923277,535.1007124448421,0.3517511326746082,0.26665107118976383,A3C Policy Distilled from Full DQN
gnn_cnn_dqn,bursty,high,5,481.0,0.35866666666666663,0.5527188266142706,564.6762841047051,0.32652621466881687,0.2639672150018838,GNN-CNN Full DQN Ranker
gnn_cnn_dqn,bursty,low,5,621.0,0.172,0.7496729599082868,613.0176233317702,0.23877797091365416,0.2566597464286901,GNN-CNN Full DQN Ranker
gnn_cnn_dqn,bursty,medium,5,554.4,0.2608,0.6565514132663508,589.7698038343559,0.2942407256779274,0.25705035282257827,GNN-CNN Full DQN Ranker
gnn_cnn_dqn,bursty,overload,5,412.8,0.44959999999999994,0.4560651732903917,532.9958257927025,0.33354202320703036,0.27022407202004406,GNN-CNN Full DQN Ranker
gnn_cnn_dqn,hotspot,high,5,481.4,0.3581333333333333,0.5614869332831403,526.5094470079708,0.3415514153640954,0.26701250894497164,GNN-CNN Full DQN Ranker
gnn_cnn_dqn,hotspot,low,5,633.6,0.15519999999999995,0.7771410132459203,572.1186292740069,0.2837075714281166,0.26648254370079855,GNN-CNN Full DQN Ranker
gnn_cnn_dqn,hotspot,medium,5,569.0,0.24133333333333332,0.6868676266064544,543.4851743334297,0.34129397880739665,0.27145226531195094,GNN-CNN Full DQN Ranker
gnn_cnn_dqn,hotspot,overload,5,415.2,0.4464,0.46664911995783437,492.18086849737966,0.3631536102839604,0.27460751338768424,GNN-CNN Full DQN Ranker
gnn_cnn_dqn,nonuniform,high,5,423.0,0.43599999999999994,0.4661706666154165,583.0916571425529,0.31875767833959084,0.26964392633521383,GNN-CNN Full DQN Ranker
gnn_cnn_dqn,nonuniform,low,5,595.4,0.20613333333333334,0.7072054932346244,659.5877790707775,0.26247912239284793,0.2521946268933749,GNN-CNN Full DQN Ranker
gnn_cnn_dqn,nonuniform,medium,5,506.8,0.3242666666666666,0.5841297065991362,615.9232691393091,0.30995009002369245,0.26295844217407616,GNN-CNN Full DQN Ranker
gnn_cnn_dqn,nonuniform,overload,5,367.2,0.5104,0.3862311999589304,565.3718843896669,0.3239544695023667,0.2648821684162383,GNN-CNN Full DQN Ranker
gnn_cnn_dqn,uniform,high,5,478.0,0.3626666666666666,0.5473710399464469,568.6359017382761,0.33008058130571893,0.26304845171346003,GNN-CNN Full DQN Ranker
gnn_cnn_dqn,uniform,low,5,640.6,0.14586666666666662,0.7777869332391918,617.020378090388,0.2668800828584475,0.25502444795354656,GNN-CNN Full DQN Ranker
gnn_cnn_dqn,uniform,medium,5,577.6,0.2298666666666666,0.6912916799347003,583.5600465195014,0.30826936814389516,0.2584039189553198,GNN-CNN Full DQN Ranker
gnn_cnn_dqn,uniform,overload,5,417.6,0.4431999999999999,0.46356954662712413,533.3113016389183,0.33110423323746907,0.268930678439249,GNN-CNN Full DQN Ranker
